Title,Name,Platform_engagement,Platform_salesdata,Release Date,Year,Primary_Genre,Genres,Genre,Team,Publisher,Rating,Plays,Backlogs,Wishlist,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
New Super Mario Bros. Wii,New Super Mario Bros. Wii,,Wii,"Nov 12, 2009",2009.0,['Adventure',"['Adventure', 'Platform']",Platform,"['Nintendo', 'Nintendo EAD']",Nintendo,3.5,0,696,241,14.59,7.06,4.7,2.26,28.62
Wolfenstein: The New Order,Wolfenstein: The New Order,,PS4,"May 20, 2014",2014.0,['Adventure',"['Adventure', 'Shooter']",Shooter,"['MachineGames', 'Bethesda Softworks']",Bethesda Softworks,3.6,0,0,722,0.47,0.8,0.03,0.29,1.58
Wolfenstein: The New Order,Wolfenstein: The New Order,,XOne,"May 20, 2014",2014.0,['Adventure',"['Adventure', 'Shooter']",Shooter,"['MachineGames', 'Bethesda Softworks']",Bethesda Softworks,3.6,0,0,722,0.33,0.28,0.0,0.06,0.67
Wolfenstein: The New Order,Wolfenstein: The New Order,,PS3,"May 20, 2014",2014.0,['Adventure',"['Adventure', 'Shooter']",Shooter,"['MachineGames', 'Bethesda Softworks']",Bethesda Softworks,3.6,0,0,722,0.14,0.25,0.02,0.09,0.51
Wolfenstein: The New Order,Wolfenstein: The New Order,,PC,"May 20, 2014",2014.0,['Adventure',"['Adventure', 'Shooter']",Shooter,"['MachineGames', 'Bethesda Softworks']",Bethesda Softworks,3.6,0,0,722,0.12,0.29,0.0,0.05,0.46
Wolfenstein: The New Order,Wolfenstein: The New Order,,X360,"May 20, 2014",2014.0,['Adventure',"['Adventure', 'Shooter']",Shooter,"['MachineGames', 'Bethesda Softworks']",Bethesda Softworks,3.6,0,0,722,0.18,0.19,0.0,0.04,0.41
Deus Ex,Deus Ex,,PC,"Jun 26, 2000",2000.0,['RPG',"['RPG', 'Shooter']",Role-Playing,"['Aspyr Media', 'Ion Storm']",Eidos Interactive,4.4,0,0,958,0.0,0.01,0.0,0.0,0.01
BioShock 2,BioShock 2,,X360,"Feb 09, 2010",2010.0,['Adventure',"['Adventure', 'RPG', 'Shooter']",Shooter,"['2K Marin', '2K Games']",Take-Two Interactive,3.6,0,0,691,1.45,0.55,0.02,0.19,2.21
BioShock 2,BioShock 2,,PS3,"Feb 09, 2010",2010.0,['Adventure',"['Adventure', 'RPG', 'Shooter']",Shooter,"['2K Marin', '2K Games']",Take-Two Interactive,3.6,0,0,691,0.85,0.47,0.02,0.22,1.55
BioShock 2,BioShock 2,,PC,"Feb 09, 2010",,['Adventure',"['Adventure', 'RPG', 'Shooter']",Shooter,"['2K Marin', '2K Games']",Take-Two Interactive,3.6,0,0,691,0.02,0.19,0.0,0.04,0.24
Shovel Knight,Shovel Knight,,3DS,"Jun 26, 2014",2015.0,['Adventure',"['Adventure', 'Indie', 'Platform']",Platform,['Yacht Club Games'],Yacht Club Games,4.0,0,0,0,0.07,0.04,0.01,0.01,0.13
Shovel Knight,Shovel Knight,,WiiU,"Jun 26, 2014",2015.0,['Adventure',"['Adventure', 'Indie', 'Platform']",Platform,['Yacht Club Games'],Yacht Club Games,4.0,0,0,0,0.06,0.04,0.0,0.01,0.11
Shovel Knight,Shovel Knight,,PS4,"Jun 26, 2014",2015.0,['Adventure',"['Adventure', 'Indie', 'Platform']",Platform,['Yacht Club Games'],Yacht Club Games,4.0,0,0,0,0.03,0.03,0.0,0.01,0.08
