season_id,name,year,competition_id
sr:season:124641,"ATP Halle, Germany Men Doubles 2025",2025,sr:competition:2861
sr:season:111404,"ATP Halle, Germany Men Doubles 2024",2024,sr:competition:2861
sr:season:134431,"ATP London, Great Britain Men Singles 2026",2026,sr:competition:2865
sr:season:124647,"ATP London, Great Britain Men Singles 2025",2025,sr:competition:2865
sr:season:111406,"ATP London, Great Britain Men Singles 2024",2024,sr:competition:2865
sr:season:134433,"ATP London, Great Britain Men Doubles 2026",2026,sr:competition:2867
sr:season:124645,"ATP London, Great Britain Men Doubles 2025",2025,sr:competition:2867
sr:season:111408,"ATP London, Great Britain Men Doubles 2024",2024,sr:competition:2867
sr:season:134419,"ATP S-Hertogenbosch, Netherlands Men Singles 2026",2026,sr:competition:2871
sr:season:124635,"ATP S-Hertogenbosch, Netherlands Men Singles 2025",2025,sr:competition:2871
sr:season:111394,"ATP S-Hertogenbosch, Netherlands Men Singles 2024",2024,sr:competition:2871
sr:season:134421,"ATP S-Hertogenbosch, Netherlands Men Doubles 2026",2026,sr:competition:2873
sr:season:124633,"ATP S-Hertogenbosch, Netherlands Men Doubles 2025",2025,sr:competition:2873
sr:season:111396,"ATP S-Hertogenbosch, Netherlands Men Doubles 2024",2024,sr:competition:2873
sr:season:124195,"WTA Eastbourne, Great Britain Women Singles 2025",2025,sr:competition:2877
sr:season:113054,"WTA Eastbourne, Great Britain Women Singles 2024",2024,sr:competition:2877
sr:season:99371,"WTA Eastbourne, Great Britain Women Singles 2023",2023,sr:competition:2877
sr:season:124197,"WTA Eastbourne, Great Britain Women Doubles 2025",2025,sr:competition:2879
sr:season:113056,"WTA Eastbourne, Great Britain Women Doubles 2024",2024,sr:competition:2879
sr:season:99373,"WTA Eastbourne, Great Britain Women Doubles 2023",2023,sr:competition:2879
sr:season:111436,"ATP Newport, USA Men Singles 2024",2024,sr:competition:2883
sr:season:99439,"ATP Newport, USA Men Singles 2023",2023,sr:competition:2883
sr:season:91445,"ATP Newport, USA Men Singles 2022",2022,sr:competition:2883
sr:season:111438,"ATP Newport, USA Men Doubles 2024",2024,sr:competition:2885
sr:season:99437,"ATP Newport, USA Men Doubles 2023",2023,sr:competition:2885
sr:season:91449,"ATP Newport, USA Men Doubles 2022",2022,sr:competition:2885
sr:season:134701,"ATP Bastad, Sweden Men Singles 2026",2026,sr:competition:2889
sr:season:124663,"ATP Bastad, Sweden Men Singles 2025",2025,sr:competition:2889
sr:season:111428,"ATP Bastad, Sweden Men Singles 2024",2024,sr:competition:2889
sr:season:134703,"ATP Bastad, Sweden Men Doubles 2026",2026,sr:competition:2891
sr:season:124661,"ATP Bastad, Sweden Men Doubles 2025",2025,sr:competition:2891
sr:season:111430,"ATP Bastad, Sweden Men Doubles 2024",2024,sr:competition:2891
sr:season:124207,"WTA Budapest, Hungary Women Singles 2025",2025,sr:competition:2895
sr:season:113068,"WTA Budapest, Hungary Women Singles 2024",2024,sr:competition:2895
sr:season:100609,"WTA Budapest, Hungary Women Singles 2023",2023,sr:competition:2895
sr:season:124209,"WTA Budapest, Hungary Women Doubles 2025",2025,sr:competition:2897
sr:season:113070,"WTA Budapest, Hungary Women Doubles 2024",2024,sr:competition:2897
sr:season:100611,"WTA Budapest, Hungary Women Doubles 2023",2023,sr:competition:2897
sr:season:113064,"WTA Palermo, Italy Women Singles 2024",2024,sr:competition:2901
sr:season:100605,"WTA Palermo, Italy Women Singles 2023",2023,sr:competition:2901
sr:season:91485,"WTA Palermo, Italy Women Singles 2022",2022,sr:competition:2901
sr:season:113066,"WTA Palermo, Italy Women Doubles 2024",2024,sr:competition:2903
sr:season:100607,"WTA Palermo, Italy Women Doubles 2023",2023,sr:competition:2903
sr:season:91487,"WTA Palermo, Italy Women Doubles 2022",2022,sr:competition:2903
sr:season:124219,"WTA Prague, Czech Republic Women Singles 2025",2025,sr:competition:2907
sr:season:113072,"WTA Prague, Czech Republic Women Singles 2024",2024,sr:competition:2907
sr:season:100617,"WTA Prague, Czech Republic Women Singles 2023",2023,sr:competition:2907
sr:season:124221,"WTA Prague, Czech Republic Women Doubles 2025",2025,sr:competition:2909
sr:season:113074,"WTA Prague, Czech Republic Women Doubles 2024",2024,sr:competition:2909
sr:season:100619,"WTA Prague, Czech Republic Women Doubles 2023",2023,sr:competition:2909
sr:season:92009,"WTA 125K Portoroz, Slovenia Women Singles 2022",2022,sr:competition:2913
sr:season:85748,"2021 Portoroz, Slovenia Women Singles",2021,sr:competition:2913
sr:season:92007,"WTA 125K Portoroz, Slovenia Women Doubles 2022",2022,sr:competition:2915
sr:season:85746,"2021 Portoroz, Slovenia Women Doubles",2021,sr:competition:2915
sr:season:134397,"ATP Hamburg, Germany Men Singles 2026",2026,sr:competition:2935
sr:season:124623,"ATP Hamburg, Germany Men Singles 2025",2025,sr:competition:2935
sr:season:111424,"ATP Hamburg, Germany Men Singles 2024",2024,sr:competition:2935
sr:season:134399,"ATP Hamburg, Germany Men Doubles 2026",2026,sr:competition:2937
sr:season:124621,"ATP Hamburg, Germany Men Doubles 2025",2025,sr:competition:2937
sr:season:111426,"ATP Hamburg, Germany Men Doubles 2024",2024,sr:competition:2937
sr:season:91519,"WTA San Jose, USA Women Singles 2022",2022,sr:competition:2941
sr:season:82868,"2021 WTA San Jose, USA Women Singles",2021,sr:competition:2941
sr:season:91521,"WTA San Jose, USA Women Doubles 2022",2022,sr:competition:2943
sr:season:82870,"2021 WTA San Jose, USA Women Doubles",2021,sr:competition:2943
sr:season:100597,"WTA Istanbul, Turkey Women Singles 2023",2023,sr:competition:2947
sr:season:89411,"WTA Istanbul, Turkey Women Singles 2022",2022,sr:competition:2947
sr:season:80830,"2021 WTA Istanbul, Turkey Women Singles",2021,sr:competition:2947
sr:season:100599,"WTA Istanbul, Turkey Women Doubles 2023",2023,sr:competition:2949
sr:season:89413,"WTA Istanbul, Turkey Women Doubles 2022",2022,sr:competition:2949
sr:season:80832,"2021 WTA Istanbul, Turkey Women Doubles",2021,sr:competition:2949
sr:season:134705,"ATP Gstaad, Switzerland Men Singles 2026",2026,sr:competition:2959
sr:season:124667,"ATP Gstaad, Switzerland Men Singles 2025",2025,sr:competition:2959
sr:season:111432,"ATP Gstaad, Switzerland Men Singles 2024",2024,sr:competition:2959
sr:season:134707,"ATP Gstaad, Switzerland Men Doubles 2026",2026,sr:competition:2961
sr:season:124665,"ATP Gstaad, Switzerland Men Doubles 2025",2025,sr:competition:2961
sr:season:111434,"ATP Gstaad, Switzerland Men Doubles 2024",2024,sr:competition:2961
sr:season:134733,"ATP Umag, Croatia Men Singles 2026",2026,sr:competition:2965
sr:season:124681,"ATP Umag, Croatia Men Singles 2025",2025,sr:competition:2965
sr:season:111448,"ATP Umag, Croatia Men Singles 2024",2024,sr:competition:2965
sr:season:134735,"ATP Umag, Croatia Men Doubles 2026",2026,sr:competition:2967
sr:season:124679,"ATP Umag, Croatia Men Doubles 2025",2025,sr:competition:2967
sr:season:111450,"ATP Umag, Croatia Men Doubles 2024",2024,sr:competition:2967
sr:season:134781,"ATP Washington, USA Men Singles 2026",2026,sr:competition:2971
sr:season:124685,"ATP Washington, USA Men Singles 2025",2025,sr:competition:2971
sr:season:111458,"ATP Washington, USA Men Singles 2024",2024,sr:competition:2971
sr:season:134783,"ATP Washington, USA Men Doubles 2026",2026,sr:competition:2973
sr:season:124683,"ATP Washington, USA Men Doubles 2025",2025,sr:competition:2973
sr:season:111460,"ATP Washington, USA Men Doubles 2024",2024,sr:competition:2973
sr:season:124341,"WTA Montreal, Canada Women Singles 2025",2025,sr:competition:2977
sr:season:99859,"WTA Montreal, Canada Women Singles 2023",2023,sr:competition:2977
sr:season:82872,"2021 WTA Montreal, Canada Women Singles",2021,sr:competition:2977
sr:season:124343,"WTA Montreal, Canada Women Doubles 2025",2025,sr:competition:2979
sr:season:99861,"WTA Montreal, Canada Women Doubles 2023",2023,sr:competition:2979
sr:season:82874,"2021 WTA Montreal, Canada Women Doubles",2021,sr:competition:2979
sr:season:134969,"ATP Cincinnati, USA Men Singles 2026",2026,sr:competition:2983
sr:season:124409,"ATP Cincinnati, USA Men Singles 2025",2025,sr:competition:2983
sr:season:111498,"ATP Cincinnati, USA Men Singles 2024",2024,sr:competition:2983
sr:season:134971,"ATP Cincinnati, USA Men Doubles 2026",2026,sr:competition:2985
sr:season:124411,"ATP Cincinnati, USA Men Doubles 2025",2025,sr:competition:2985
sr:season:111500,"ATP Cincinnati, USA Men Doubles 2024",2024,sr:competition:2985
sr:season:124689,"ATP Toronto, Canada Men Singles",2025,sr:competition:2995
sr:season:99429,"ATP Toronto, Canada Men Singles 2023",2023,sr:competition:2995
sr:season:80726,"2021 ATP Toronto, Canada, Singles",2021,sr:competition:2995
sr:season:124687,"ATP Toronto, Canada Men Doubles 2025",2025,sr:competition:2997
sr:season:99431,"ATP Toronto, Canada Men Doubles 2023",2023,sr:competition:2997
sr:season:80728,"2021 ATP Toronto, Canada, Doubles",2021,sr:competition:2997
sr:season:124477,"ATP Metz, France Men Singles 2025",2025,sr:competition:3001
sr:season:111550,"ATP Metz, France Men Singles 2024",2024,sr:competition:3001
sr:season:99711,"ATP Metz, France Men Singles 2023",2023,sr:competition:3001
sr:season:124479,"ATP Metz, France Men Doubles 2025",2025,sr:competition:3003
sr:season:111552,"ATP Metz, France Men Doubles 2024",2024,sr:competition:3003
sr:season:99709,"ATP Metz, France Men Doubles 2023",2023,sr:competition:3003
sr:season:134097,"ATP Bucharest, Romania Men Singles 2026",2026,sr:competition:3007
sr:season:124323,"ATP Bucharest, Romania Men Singles 2025",2025,sr:competition:3007
